,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,테임즈,NC,0.381,142,595,472,130,180,42,5,47,373,140,0,7
1,2,유한준,넥센,0.362,139,598,520,103,188,42,1,23,301,116,1,8
2,3,구자욱,삼성,0.349,116,465,410,97,143,33,5,11,219,57,0,4
3,4,마르테,kt,0.348,115,487,425,85,148,32,1,20,242,89,0,8
4,5,박병호,넥센,0.343,140,622,528,129,181,35,1,53,377,146,0,4
5,6,이용규,한화,0.341,124,585,493,94,168,15,7,4,209,42,11,4
6,7,이승엽,삼성,0.332,122,522,470,87,156,28,1,26,264,90,0,6
7,8,박용택,LG,0.326,128,533,487,66,159,28,2,18,245,83,1,7
8,9,나성범,NC,0.326,144,622,564,112,184,34,5,28,312,135,3,8
9,10,김현수,두산,0.326,141,630,512,103,167,26,0,28,277,121,0,9
10,11,양의지,두산,0.326,132,513,442,70,144,27,0,20,231,93,2,6
11,12,필,KIA,0.325,143,591,536,81,174,35,1,22,277,101,0,9
12,13,박석민,삼성,0.321,135,559,448,90,144,25,0,26,247,116,1,8
13,14,최형우,삼성,0.318,144,637,547,94,174,33,1,33,308,123,0,8
14,15,손아섭,롯데,0.317,116,517,445,86,141,28,1,13,210,54,0,3
15,16,허경민,두산,0.317,117,453,404,64,128,20,2,1,155,41,8,3
16,17,정근우,한화,0.316,126,552,468,99,148,30,2,12,218,66,13,2
17,18,김태균,한화,0.316,133,524,408,61,129,28,0,21,220,104,1,5
18,19,이명기,SK,0.315,137,582,521,88,164,30,2,3,207,35,11,4
19,20,아두치,롯데,0.314,132,594,526,105,165,34,5,28,293,106,1,4
20,21,강민호,롯데,0.311,123,456,380,63,118,18,1,35,243,86,0,2
21,22,김재호,두산,0.307,133,488,410,63,126,24,3,3,165,50,14,7
22,23,최준석,롯데,0.306,144,618,507,78,155,18,1,31,268,109,1,1
23,24,박민우,NC,0.304,141,617,520,111,158,31,6,3,210,47,3,7
24,25,민병헌,두산,0.303,129,561,491,80,149,20,2,12,209,75,6,6
25,26,김민성,넥센,0.303,118,489,445,60,135,24,0,16,207,71,2,3
26,27,이대형,kt,0.302,140,616,546,86,165,23,3,0,194,37,10,1
27,28,정훈,롯데,0.300,135,562,486,85,146,27,2,9,204,62,7,3
28,29,김성현,SK,0.297,129,449,397,49,118,20,0,8,162,48,12,2
29,30,정수빈,두산,0.295,128,570,491,79,145,27,7,2,192,59,19,6
